run_id,seed,workload,alpha,beta,policy,task_id,candidate_count,feasible_count,selected_candidate,selected_group_size,selected_sketch,admitted,latency_s,goodput_contrib,challenge_ms_task,false_risk,infeasible,low_risk,reason
a_min_000119,20260513,single,0.05,0.9,random,eval_119,13,11,cand_lan_a_brtxint8,3,scalar16,1,0.96071,1,0.360349,0.0155,1,0,random_scalar16
a_min_000120,20260513,single,0.05,0.9,random,eval_120,13,11,cand_wan_a_d,3,scalar16,1,1.06798,1,0.360349,0.009,1,0,random_scalar16
a_min_000121,20260513,single,0.05,0.9,random,eval_121,13,11,cand_lan_a_brtxint8,3,scalar16,1,0.95972,1,0.360349,0.0155,1,0,random_scalar16
a_min_000122,20260513,single,0.05,0.9,random,eval_122,13,11,cand_lan_a_b,3,scalar16,1,0.9431,1,0.360349,0.015,1,0,random_scalar16
a_min_000123,20260513,single,0.05,0.9,random,eval_123,13,11,cand_lan_a_brtxint8,3,scalar16,1,0.95972,1,0.360349,0.0155,1,0,random_scalar16
a_min_000124,20260513,single,0.05,0.9,random,eval_124,13,11,cand_wan_a_d,3,scalar16,1,1.06852,1,0.360349,0.009,1,0,random_scalar16
a_min_000125,20260513,single,0.05,0.9,random,eval_125,13,11,cand_homo_ff,1,scalar16,1,1.21621,1,0.360349,0.0,0,1,random_scalar16
a_min_000126,20260513,single,0.05,0.9,random,eval_126,13,11,cand_wan_a_c,3,scalar16,1,1.08505,1,0.360349,0.011,1,0,random_scalar16
a_min_000127,20260513,single,0.05,0.9,random,eval_127,13,11,cand_wan_a_brtxint8,3,scalar16,1,1.05361,1,0.360349,0.0155,1,0,random_scalar16
a_min_000128,20260513,single,0.05,0.9,random,eval_128,13,11,cand_lan_a_brtxint8,3,scalar16,1,0.96143,1,0.360349,0.0155,1,0,random_scalar16
a_min_000129,20260513,single,0.05,0.9,random,eval_129,13,11,cand_lan_a_brtxint8,3,scalar16,1,0.96125,1,0.360349,0.0155,1,0,random_scalar16
a_min_000130,20260513,single,0.05,0.9,random,eval_130,13,11,cand_lan_a_b,3,scalar16,1,0.94292,1,0.360349,0.015,1,0,random_scalar16
a_min_000131,20260513,single,0.05,0.9,random,eval_131,13,11,cand_lan_e_f,3,scalar16,1,0.92657,1,0.360349,0.0165,1,0,random_scalar16
a_min_000132,20260513,single,0.05,0.9,random,eval_132,13,11,cand_wan_a_brtxint8,3,scalar16,1,1.05235,1,0.360349,0.0155,1,0,random_scalar16
a_min_000133,20260513,single,0.05,0.9,random,eval_133,13,11,cand_lan_a_d,3,scalar16,1,0.97697,1,0.360349,0.009,1,0,random_scalar16
