pair_id,pair_label,variant,family,attack_family,attack_layer,attack_strength,prompt_count,detection_rate,localization_acc,output_affecting_available,output_affecting_prompt_count,output_affecting_detection_rate,output_affecting_reason,dominant_mismatch_checkpoint,runtime_ms_per_trace
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,scalar64,scalar,scale_perturbation,material_tamper,0.02,200,0.27,0.27,0,0,,no_logits_or_output_in_capture,C2,6.75395
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,scalar64,scalar,scale_perturbation,material_tamper,0.05,200,0.54,0.54,0,0,,no_logits_or_output_in_capture,C2,6.781006
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,scalar64,scalar,scale_perturbation,material_tamper,0.1,200,0.805,0.805,0,0,,no_logits_or_output_in_capture,C2,6.760011
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,scalar64,scalar,scale_perturbation,material_tamper,0.15,200,0.88,0.88,0,0,,no_logits_or_output_in_capture,C2,6.7527
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,scalar64,scalar,scale_perturbation,material_tamper,0.2,200,0.925,0.925,0,0,,no_logits_or_output_in_capture,C2,6.793031
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,projcos4,projcos,gaussian,statistical_tamper,0.01,200,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,7.236225
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,projcos4,projcos,gaussian,statistical_tamper,0.02,200,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,7.1782
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,projcos4,projcos,gaussian,statistical_tamper,0.05,200,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,7.163164
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,projcos4,projcos,gaussian,statistical_tamper,0.1,200,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,7.235044
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,projcos4,projcos,gaussian,statistical_tamper,0.15,200,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,7.151396
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,projcos4,projcos,gaussian,statistical_tamper,0.2,200,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,7.166389
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,projcos4,projcos,scale_perturbation,material_tamper,0.01,200,0.0,0.0,0,0,,no_logits_or_output_in_capture,,7.12603
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,projcos4,projcos,scale_perturbation,material_tamper,0.02,200,0.0,0.0,0,0,,no_logits_or_output_in_capture,,7.068007
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,projcos4,projcos,scale_perturbation,material_tamper,0.05,200,0.0,0.0,0,0,,no_logits_or_output_in_capture,,7.121001
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,projcos4,projcos,scale_perturbation,material_tamper,0.1,200,0.0,0.0,0,0,,no_logits_or_output_in_capture,,7.16976
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,projcos4,projcos,scale_perturbation,material_tamper,0.15,200,0.0,0.0,0,0,,no_logits_or_output_in_capture,,7.092358
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,projcos4,projcos,scale_perturbation,material_tamper,0.2,200,0.0,0.0,0,0,,no_logits_or_output_in_capture,,7.096299
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,projcos8,projcos,gaussian,statistical_tamper,0.01,200,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,7.263063
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,projcos8,projcos,gaussian,statistical_tamper,0.02,200,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,7.625036
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,projcos8,projcos,gaussian,statistical_tamper,0.05,200,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,7.407784
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,projcos8,projcos,gaussian,statistical_tamper,0.1,200,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,7.310204
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,projcos8,projcos,gaussian,statistical_tamper,0.15,200,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,7.254322
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,projcos8,projcos,gaussian,statistical_tamper,0.2,200,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,7.252735
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,projcos8,projcos,scale_perturbation,material_tamper,0.01,200,0.0,0.0,0,0,,no_logits_or_output_in_capture,,7.199817
