pair_id,pair_label,variant,family,attack_family,attack_layer,attack_strength,prompt_count,signature_scalars_per_checkpoint,signature_bytes_per_checkpoint_fp32,detection_rate,localization_acc,output_affecting_available,output_affecting_prompt_count,output_affecting_detection_rate,output_affecting_reason,dominant_mismatch_checkpoint,runtime_ms_per_trace
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos16,projcos,gaussian,statistical_tamper,0.15,200,256,1024,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,2.084876
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos16,projcos,same_prompt_old_run_replay,material_tamper,,200,256,1024,0.0,0.0,0,0,,no_logits_or_output_in_capture,,2.084876
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos16,projcos,cross_prompt_stale_substitution,material_tamper,,200,256,1024,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,2.084876
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos16,projcos,wrong_shard_output,material_tamper,,200,256,1024,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,2.084876
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos16,projcos,scale_perturbation,material_tamper,0.15,200,256,1024,0.0,0.0,0,0,,no_logits_or_output_in_capture,,2.084876
t4strict_pair_a_vs_b_40_200,stack_a_vs_stack_b,projcos16,projcos,layer_skip,material_tamper,,200,256,1024,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,2.084876
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,scalar16,scalar,gaussian,statistical_tamper,0.15,200,16,64,1.0,1.0,0,0,,no_logits_or_output_in_capture,C2,1.356312
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,scalar16,scalar,same_prompt_old_run_replay,material_tamper,,200,16,64,0.655,0.655,0,0,,no_logits_or_output_in_capture,C2,1.356312
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,scalar16,scalar,cross_prompt_stale_substitution,material_tamper,,200,16,64,0.655,0.655,0,0,,no_logits_or_output_in_capture,C2,1.356312
t4strict_pair_a_vs_b_rtxint8_40_200,stack_a_vs_stack_b_rtxint8,scalar16,scalar,wrong_shard_output,material_tamper,,200,16,64,0.655,0.655,0,0,,no_logits_or_output_in_capture,C2,1.356312
