pair_id,pair_label,variant,family,prompt_id,checkpoint,gap_metric,gap_value,threshold,over_threshold
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_119,C2,mean_projected_cosine_gap,5.1873e-05,0.000391069,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_119,C3,mean_projected_cosine_gap,2.8781e-05,0.000261239,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_120,C1,mean_projected_cosine_gap,0.000199431,8.9418e-05,1
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_120,C2,mean_projected_cosine_gap,9.1988e-05,0.000391069,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_120,C3,mean_projected_cosine_gap,5.2422e-05,0.000261239,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_121,C1,mean_projected_cosine_gap,6.054e-05,8.9418e-05,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_121,C2,mean_projected_cosine_gap,0.000146922,0.000391069,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_121,C3,mean_projected_cosine_gap,7.5333e-05,0.000261239,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_122,C1,mean_projected_cosine_gap,6.1456e-05,8.9418e-05,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_122,C2,mean_projected_cosine_gap,0.0001426,0.000391069,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_122,C3,mean_projected_cosine_gap,9.0968e-05,0.000261239,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_123,C1,mean_projected_cosine_gap,6.0463e-05,8.9418e-05,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_123,C2,mean_projected_cosine_gap,0.000180626,0.000391069,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_123,C3,mean_projected_cosine_gap,7.3906e-05,0.000261239,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_124,C1,mean_projected_cosine_gap,7.6528e-05,8.9418e-05,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_124,C2,mean_projected_cosine_gap,0.000124772,0.000391069,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_124,C3,mean_projected_cosine_gap,4.0781e-05,0.000261239,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_125,C1,mean_projected_cosine_gap,8.2966e-05,8.9418e-05,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_125,C2,mean_projected_cosine_gap,8.2338e-05,0.000391069,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_125,C3,mean_projected_cosine_gap,9.5046e-05,0.000261239,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_126,C1,mean_projected_cosine_gap,2.9691e-05,8.9418e-05,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_126,C2,mean_projected_cosine_gap,8.1682e-05,0.000391069,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_126,C3,mean_projected_cosine_gap,0.000121093,0.000261239,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_127,C1,mean_projected_cosine_gap,3.0506e-05,8.9418e-05,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_127,C2,mean_projected_cosine_gap,0.000362027,0.000391069,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_127,C3,mean_projected_cosine_gap,5.7757e-05,0.000261239,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_128,C1,mean_projected_cosine_gap,2.7671e-05,8.9418e-05,0
t4strict_pair_b_vs_d_40_200,stack_b_vs_stack_d,projcos4,projcos,eval_128,C2,mean_projected_cosine_gap,0.000284869,0.000391069,0
