variant,family,scenario,prompt_id,tolerance_mode,percentile,tolerance_scale,signature_scalars_per_checkpoint,signature_bytes_per_checkpoint_fp32,reveal_payload_bytes_per_trace,reference_capture_file_bytes,candidate_capture_file_bytes,metadata_bytes,commitment_head_bytes,commitment_chain_bytes,reference_storage_head_bytes,candidate_working_set_head_bytes,challenge_working_set_head_bytes,challenge_working_set_full_chain_bytes,reference_capture_load_ms,candidate_capture_load_ms,commitment_generation_ms,replay_ms,compare_ms,challenge_latency_no_commit_ms,challenge_latency_ms,detected,first_mismatch_stage,first_mismatch_checkpoint,verdict_bytes
projcos4,projcos,tamper,eval_171,checkpoint_specific,99.0,1.5,64,256,768,102424,102424,2132,32,96,103490,103490,207201,207265,1.590125,1.56025,0.207416,0.18375,0.0335,3.367625,3.575041,1,prefill,C2,189
projcos4,projcos,tamper,eval_172,checkpoint_specific,99.0,1.5,64,256,768,110099,110099,2132,32,96,111165,111165,222551,222615,1.669208,1.559875,0.200167,0.184875,0.036792,3.45075,3.650917,1,prefill,C2,189
projcos4,projcos,tamper,eval_173,checkpoint_specific,99.0,1.5,64,256,768,94804,94804,2132,32,96,95870,95870,191961,192025,1.648833,1.601584,0.212208,0.187125,0.034042,3.471584,3.683792,1,prefill,C2,189
projcos4,projcos,tamper,eval_174,checkpoint_specific,99.0,1.5,64,256,768,94787,94787,2132,32,96,95853,95853,191927,191991,1.552667,1.570542,0.199291,0.190625,0.033833,3.347667,3.546958,1,prefill,C2,189
projcos4,projcos,tamper,eval_175,checkpoint_specific,99.0,1.5,64,256,768,94756,94756,2132,32,96,95822,95822,191865,191929,1.751542,1.619042,0.192542,0.165791,0.030709,3.567084,3.759626,1,prefill,C2,189
projcos4,projcos,tamper,eval_176,checkpoint_specific,99.0,1.5,64,256,768,94802,94802,2132,32,96,95868,95868,191957,192021,1.6565,1.993625,0.294167,0.332167,0.045292,4.027584,4.321751,1,prefill,C2,189
projcos4,projcos,tamper,eval_177,checkpoint_specific,99.0,1.5,64,256,768,125428,125428,2132,32,96,126494,126494,253209,253273,1.866375,1.811792,0.238583,0.193583,0.036958,3.908708,4.147291,1,prefill,C2,189
projcos4,projcos,tamper,eval_178,checkpoint_specific,99.0,1.5,64,256,768,125405,125405,2132,32,96,126471,126471,253163,253227,1.604291,1.507334,0.201041,0.190667,0.032125,3.334417,3.535458,1,prefill,C2,189
projcos4,projcos,tamper,eval_179,checkpoint_specific,99.0,1.5,64,256,768,125471,125471,2132,32,96,126537,126537,253295,253359,1.615292,1.67,0.219083,0.192208,0.034833,3.512333,3.731416,1,prefill,C2,189
projcos4,projcos,tamper,eval_180,checkpoint_specific,99.0,1.5,64,256,768,94765,94765,2132,32,96,95831,95831,191883,191947,1.541,1.62325,0.215792,0.187292,0.034458,3.386,3.601792,1,prefill,C2,189
