prompt_id,checkpoint,N,K,rho,support,selected_candidate,candidate_portfolio,threshold,honest_fpr,adaptive_detection_rate,selection_detection_rate,honest_full_energy,attacked_full_energy,relative_l2,residual_dot,residual_cosine,median_estimator_relative_error,p90_estimator_relative_error,selection_draws,test_draws
eval_001,prefill__C3,16384,1,0.01,1,5,8,0.0013269824944864468,0.0234375,0.09375,0.03125,0.00032980081512042585,0.00042981969396684066,0.01,0.00015465550983015494,5.19780036587988e-05,0.8122622842845699,1.8736298874857387,64,256
eval_001,prefill__C3,16384,2,0.01,1,7,8,0.0009929407987027431,0.01953125,0.0703125,0.0625,0.00032980081512042585,0.0004298134484833307,0.01,0.00010349250891636256,3.478268580938777e-05,0.6304702349457182,1.059008782884687,64,256
eval_001,prefill__C3,16384,4,0.01,1,1,8,0.0008247635664812968,0.02734375,0.11328125,0.0625,0.00032980081512042585,0.00042980123661224504,0.01,3.4528609827821593e-06,1.160468327274434e-06,0.4273506266126095,0.9842243973185012,64,256
eval_001,prefill__C3,16384,8,0.01,1,5,8,0.0006062843402392971,0.0390625,0.1796875,0.140625,0.00032980081512042585,0.00042981969396684066,0.01,0.00015465550983015494,5.19780036587988e-05,0.32533323849542767,0.7593139171266665,64,256
eval_001,prefill__C3,16384,16,0.01,1,5,8,0.000600830622509261,0.0234375,0.11328125,0.09375,0.00032980081512042585,0.00042981969396684066,0.01,0.00015465550983015494,5.19780036587988e-05,0.2240773775328498,0.5628903767704595,64,256
eval_001,prefill__C3,16384,32,0.01,1,7,8,0.0004691358479269402,0.07421875,0.3515625,0.265625,0.00032980081512042585,0.0004298134484833307,0.01,0.00010349250891636256,3.478268580938777e-05,0.1733983032300063,0.4218410014025174,64,256
eval_001,prefill__C3,16384,64,0.01,1,3,8,0.0004463599814447638,0.03515625,0.359375,0.3125,0.00032980081512042585,0.00042980614642235506,0.01,4.3674025403839204e-05,1.4678356139579327e-05,0.10881128794509182,0.3211515972241026,64,256
eval_001,prefill__C3,16384,1,0.01,16,4,8,0.0013269824944864468,0.0234375,0.0625,0.03125,0.00032980081512042585,0.00042980081512042584,0.01,-3.469446951953614e-18,-1.1660426877820253e-18,0.7830263936436219,1.528223620223949,64,256
eval_001,prefill__C3,16384,2,0.01,16,3,8,0.0009929407987027431,0.01953125,0.06640625,0.078125,0.00032980081512042585,0.0004298008151204259,0.010000000000000002,-1.734723475976807e-18,-5.830213438910127e-19,0.6383189481064772,1.0583675077989851,64,256
eval_001,prefill__C3,16384,4,0.01,16,3,8,0.0008247635664812968,0.02734375,0.12109375,0.046875,0.00032980081512042585,0.0004298008151204259,0.010000000000000002,-1.734723475976807e-18,-5.830213438910127e-19,0.4527136120730757,1.0030021536981115,64,256
eval_001,prefill__C3,16384,8,0.01,16,6,8,0.0006062843402392971,0.0390625,0.19921875,0.078125,0.00032980081512042585,0.00042980081512042584,0.01,-1.734723475976807e-18,-5.830213438910127e-19,0.33347257500653993,0.7186684975254626,64,256
eval_001,prefill__C3,16384,16,0.01,16,6,8,0.000600830622509261,0.0234375,0.12890625,0.078125,0.00032980081512042585,0.00042980081512042584,0.01,-1.734723475976807e-18,-5.830213438910127e-19,0.22164355335606714,0.554666402891141,64,256
eval_001,prefill__C3,16384,32,0.01,16,2,8,0.0004691358479269402,0.07421875,0.3203125,0.28125,0.00032980081512042585,0.00042980081512042584,0.01,0.0,0.0,0.1861064197504541,0.4093804872932474,64,256
eval_001,prefill__C3,16384,64,0.01,16,0,8,0.0004463599814447638,0.03515625,0.36328125,0.390625,0.00032980081512042585,0.00042980081512042584,0.01,1.734723475976807e-18,5.830213438910127e-19,0.10773493851574674,0.27504008986673745,64,256
eval_001,prefill__C3,16384,1,0.01,256,4,8,0.0013269824944864468,0.0234375,0.0703125,0.046875,0.00032980081512042585,0.0004298008151204259,0.010000000000000002,2.6020852139652106e-18,8.745320158365189e-19,0.818619206153359,1.4621081184123883,64,256
eval_001,prefill__C3,16384,2,0.01,256,2,8,0.0009929407987027431,0.01953125,0.0859375,0.078125,0.00032980081512042585,0.00042980081512042584,0.01,3.469446951953614e-18,1.1660426877820253e-18,0.6200199290915402,1.2311565842643653,64,256
eval_001,prefill__C3,16384,4,0.01,256,2,8,0.0008247635664812968,0.02734375,0.09765625,0.078125,0.00032980081512042585,0.00042980081512042584,0.01,3.469446951953614e-18,1.1660426877820253e-18,0.4673258032608177,0.9395870096006793,64,256
eval_001,prefill__C3,16384,8,0.01,256,2,8,0.0006062843402392971,0.0390625,0.171875,0.109375,0.00032980081512042585,0.00042980081512042584,0.01,3.469446951953614e-18,1.1660426877820253e-18,0.33500861834851514,0.7504960377853918,64,256
eval_001,prefill__C3,16384,16,0.01,256,2,8,0.000600830622509261,0.0234375,0.14453125,0.0625,0.00032980081512042585,0.00042980081512042584,0.01,3.469446951953614e-18,1.1660426877820253e-18,0.2699272493674215,0.5236761141879518,64,256
eval_001,prefill__C3,16384,32,0.01,256,2,8,0.0004691358479269402,0.07421875,0.33203125,0.234375,0.00032980081512042585,0.00042980081512042584,0.01,3.469446951953614e-18,1.1660426877820253e-18,0.19120213746839723,0.4068352757423383,64,256
eval_001,prefill__C3,16384,64,0.01,256,2,8,0.0004463599814447638,0.03515625,0.40625,0.21875,0.00032980081512042585,0.00042980081512042584,0.01,3.469446951953614e-18,1.1660426877820253e-18,0.13903273198584126,0.28555911661704203,64,256
eval_001,prefill__C3,16384,1,0.02,1,6,8,0.0013269824944864468,0.0234375,0.16015625,0.15625,0.00032980081512042585,0.0007298411473308539,0.02,0.00033040146782541173,5.552213665831261e-05,0.786804064226003,1.4586075860301508,64,256
eval_001,prefill__C3,16384,2,0.02,1,2,8,0.0009929407987027431,0.01953125,0.29296875,0.25,0.00032980081512042585,0.0007298409885594421,0.02,0.00032910081242142454,5.530356872167224e-05,0.5367592370963414,0.9946466262805514,64,256
eval_001,prefill__C3,16384,4,0.02,1,6,8,0.0008247635664812968,0.02734375,0.31640625,0.25,0.00032980081512042585,0.0007298411473308539,0.02,0.00033040146782541173,5.552213665831261e-05,0.3636640515432319,0.8744067271338838,64,256
eval_001,prefill__C3,16384,8,0.02,1,6,8,0.0006062843402392971,0.0390625,0.54296875,0.5625,0.00032980081512042585,0.0007298411473308539,0.02,0.00033040146782541173,5.552213665831261e-05,0.27087172970218737,0.6671066025247977,64,256
eval_001,prefill__C3,16384,16,0.02,1,1,8,0.000600830622509261,0.0234375,0.7265625,0.65625,0.00032980081512042585,0.0007298349217827677,0.02,0.00027940177790404823,4.6951921241346694e-05,0.19211800433242265,0.4555071107960964,64,256
eval_001,prefill__C3,16384,32,0.02,1,1,8,0.0004691358479269402,0.07421875,0.97265625,0.953125,0.00032980081512042585,0.0007298349217827677,0.02,0.00027940177790404823,4.6951921241346694e-05,0.13221038174997546,0.3472089765911609,64,256
eval_001,prefill__C3,16384,64,0.02,1,1,8,0.0004463599814447638,0.03515625,1.0,1.0,0.00032980081512042585,0.0007298349217827677,0.02,0.00027940177790404823,4.6951921241346694e-05,0.09404316432636892,0.2557309705151415,64,256
eval_001,prefill__C3,16384,1,0.02,16,7,8,0.0013269824944864468,0.0234375,0.203125,0.078125,0.00032980081512042585,0.0007298008151204259,0.02,-5.204170427930421e-18,-8.745320158365189e-19,0.8048543832180418,1.6610016967825973,64,256
eval_001,prefill__C3,16384,2,0.02,16,7,8,0.0009929407987027431,0.01953125,0.234375,0.125,0.00032980081512042585,0.0007298008151204259,0.02,-5.204170427930421e-18,-8.745320158365189e-19,0.6360477889980147,1.5473845172122485,64,256
eval_001,prefill__C3,16384,4,0.02,16,7,8,0.0008247635664812968,0.02734375,0.3359375,0.296875,0.00032980081512042585,0.0007298008151204259,0.02,-5.204170427930421e-18,-8.745320158365189e-19,0.4792097947582073,0.9172723669094582,64,256
