family,K,support,energy_ratio,threshold_calibrated_on_support_256,rate,calibration_draws,test_draws
qgauss8,1,1,1.0,6.5467110426022925,0.0111,20000,20000
qgauss8,1,1,1.4,6.5467110426022925,0.0317,20000,20000
qgauss8,1,1,2.0,6.5467110426022925,0.0702,20000,20000
qgauss8,1,1,8.0,6.5467110426022925,0.36595,20000,20000
qgauss8,2,1,1.0,4.6103555777118705,0.0101,20000,20000
qgauss8,2,1,1.4,4.6103555777118705,0.0381,20000,20000
qgauss8,2,1,2.0,4.6103555777118705,0.10065,20000,20000
qgauss8,2,1,8.0,4.6103555777118705,0.5632,20000,20000
qgauss8,4,1,1.0,3.3656126371344333,0.0088,20000,20000
qgauss8,4,1,1.4,3.3656126371344333,0.04745,20000,20000
qgauss8,4,1,2.0,3.3656126371344333,0.1524,20000,20000
qgauss8,4,1,8.0,3.3656126371344333,0.795,20000,20000
qgauss8,8,1,1.0,2.495154835081178,0.0097,20000,20000
qgauss8,8,1,1.4,2.495154835081178,0.07635,20000,20000
qgauss8,8,1,2.0,2.495154835081178,0.26775,20000,20000
qgauss8,8,1,8.0,2.495154835081178,0.9615,20000,20000
qgauss8,16,1,1.0,2.007480519132214,0.00995,20000,20000
qgauss8,16,1,1.4,2.007480519132214,0.1235,20000,20000
qgauss8,16,1,2.0,2.007480519132214,0.4456,20000,20000
qgauss8,16,1,8.0,2.007480519132214,0.99875,20000,20000
qgauss8,32,1,1.0,1.6818449418104449,0.00905,20000,20000
qgauss8,32,1,1.4,1.6818449418104449,0.2008,20000,20000
qgauss8,32,1,2.0,1.6818449418104449,0.7203,20000,20000
qgauss8,32,1,8.0,1.6818449418104449,1.0,20000,20000
qgauss8,1,16,1.0,6.5467110426022925,0.01065,20000,20000
qgauss8,1,16,1.4,6.5467110426022925,0.03175,20000,20000
qgauss8,1,16,2.0,6.5467110426022925,0.07135,20000,20000
qgauss8,1,16,8.0,6.5467110426022925,0.3684,20000,20000
qgauss8,2,16,1.0,4.6103555777118705,0.0091,20000,20000
qgauss8,2,16,1.4,4.6103555777118705,0.03665,20000,20000
qgauss8,2,16,2.0,4.6103555777118705,0.09995,20000,20000
qgauss8,2,16,8.0,4.6103555777118705,0.5637,20000,20000
qgauss8,4,16,1.0,3.3656126371344333,0.00915,20000,20000
qgauss8,4,16,1.4,3.3656126371344333,0.04735,20000,20000
qgauss8,4,16,2.0,3.3656126371344333,0.14895,20000,20000
qgauss8,4,16,8.0,3.3656126371344333,0.7986,20000,20000
qgauss8,8,16,1.0,2.495154835081178,0.0096,20000,20000
qgauss8,8,16,1.4,2.495154835081178,0.07255,20000,20000
qgauss8,8,16,2.0,2.495154835081178,0.2666,20000,20000
qgauss8,8,16,8.0,2.495154835081178,0.9635,20000,20000
qgauss8,16,16,1.0,2.007480519132214,0.00925,20000,20000
qgauss8,16,16,1.4,2.007480519132214,0.11175,20000,20000
qgauss8,16,16,2.0,2.007480519132214,0.45115,20000,20000
qgauss8,16,16,8.0,2.007480519132214,0.99885,20000,20000
qgauss8,32,16,1.0,1.6818449418104449,0.00865,20000,20000
