run_id,network,mode,payload_mb,group_size,concurrency,provider_id,replicate_id,t0_start_ms,t1_encrypt_done_ms,t2_publish_done_ms,t3_access_sent_ms,t4_first_ready_ms,t5_all_ready_ms,requester_egress_mb,store_egress_mb,provider_fetch_ms,access_pkg_bytes,access_pkg_bytes_mean,success,notes
lan_rpd_100_2_015,LAN,RPD,100,2,2,ALL,15,0.0,10.505777,,1715.319754,1715.319754,1715.319754,200.000032,0.0,,0,0.0,1,fresh_cid=bafy11906e818b1564782306abdbf573abad45f6d7643d11e382;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_2_016,LAN,RPD,100,2,2,ALL,16,0.0,10.240776,,1715.818491,1715.818491,1715.818491,200.000032,0.0,,0,0.0,1,fresh_cid=bafyac9f9a95f6503e4cf27966ae69751e7da864f4d44f892ceb;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_2_017,LAN,RPD,100,2,2,ALL,17,0.0,10.426728,,1713.80466,1713.80466,1713.80466,200.000032,0.0,,0,0.0,1,fresh_cid=bafyb847fa2dac8427809d195bc2b5885daa743a78f5bec2e647;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_2_018,LAN,RPD,100,2,2,ALL,18,0.0,10.45347,,1715.27327,1715.27327,1715.27327,200.000032,0.0,,0,0.0,1,fresh_cid=bafy48d5a8b556e6d54a1ea94d453c203b0b37b32c7cda43a126;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_2_019,LAN,RPD,100,2,2,ALL,19,0.0,10.196898,,1713.57483,1713.57483,1713.57483,200.000032,0.0,,0,0.0,1,fresh_cid=bafy80c0ce209fcd81030761c651e4329ead245ed80e9959e0f9;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_2_020,LAN,RPD,100,2,2,ALL,20,0.0,10.492428,,1718.112957,1718.112957,1718.112957,200.000032,0.0,,0,0.0,1,fresh_cid=bafyc5ed4ea7e6f8215849d0080408657364cc36e7d8fc47fccb;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_2_021,LAN,RPD,100,2,2,ALL,21,0.0,10.520429,,1714.324407,1714.324407,1714.324407,200.000032,0.0,,0,0.0,1,fresh_cid=bafy4efeaefa9c297463875e31f877038a97523b6d8f78b12aa5;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_2_022,LAN,RPD,100,2,2,ALL,22,0.0,10.516708,,1714.893658,1714.893658,1714.893658,200.000032,0.0,,0,0.0,1,fresh_cid=bafyde2a721d17d3dbb73735da0c6794ef5ec4e5c7d735f75282;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_2_023,LAN,RPD,100,2,2,ALL,23,0.0,10.433329,,1716.103111,1716.103111,1716.103111,200.000032,0.0,,0,0.0,1,fresh_cid=bafy00f2409d0b6b6fc90b4c66080638bfac01e9594869e217d6;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_2_024,LAN,RPD,100,2,2,ALL,24,0.0,10.355902,,1714.21215,1714.21215,1714.21215,200.000032,0.0,,0,0.0,1,fresh_cid=bafyf0549407771287fc31a4ad5be921ae292ea5e8520748fcc0;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_2_025,LAN,RPD,100,2,2,ALL,25,0.0,10.654359,,1716.460065,1716.460065,1716.460065,200.000032,0.0,,0,0.0,1,fresh_cid=bafyb8d9d23a185b13d709543bf69906ba6181e03522f707719b;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_2_026,LAN,RPD,100,2,2,ALL,26,0.0,10.350394,,1717.453341,1717.453341,1717.453341,200.000032,0.0,,0,0.0,1,fresh_cid=bafyfbc892c2e1c7498b999231a046205fb5fbcbb660bebc6f2e;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_2_027,LAN,RPD,100,2,2,ALL,27,0.0,10.208856,,1714.490779,1714.490779,1714.490779,200.000032,0.0,,0,0.0,1,fresh_cid=bafy03bc6d6f6f81ae9ac5e35bcbd72d5d20c4b1b6366df6f62d;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_2_028,LAN,RPD,100,2,2,ALL,28,0.0,10.535155,,1714.274384,1714.274384,1714.274384,200.000032,0.0,,0,0.0,1,fresh_cid=bafy6063b3ad1ceeeef2ff250856112e41607f06a1f7d831c140;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_2_029,LAN,RPD,100,2,2,ALL,29,0.0,10.416133,,1715.476857,1715.476857,1715.476857,200.000032,0.0,,0,0.0,1,fresh_cid=bafya99ffc7f5b36214a8624f725d7bd5d9ce23df3a556446284;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_2_030,LAN,RPD,100,2,2,ALL,30,0.0,10.543603,,1714.26092,1714.26092,1714.26092,200.000032,0.0,,0,0.0,1,fresh_cid=bafyfc5b0db2b9b9d2e355e0c8ab97e9d15c3c101e2a990feb50;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_4_001,LAN,RPD,100,4,4,ALL,1,0.0,10.457548,,3416.451887,3416.451887,3416.451887,400.000064,0.0,,0,0.0,1,fresh_cid=bafyf19df5fae6acc28621b067a497689eba3aaf520fe00bc276;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_4_002,LAN,RPD,100,4,4,ALL,2,0.0,10.356681,,3415.862545,3415.862545,3415.862545,400.000064,0.0,,0,0.0,1,fresh_cid=bafy7017754682afd370f424599398820bc2118fd56be072a2c5;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_4_003,LAN,RPD,100,4,4,ALL,3,0.0,10.452419,,3416.864381,3416.864381,3416.864381,400.000064,0.0,,0,0.0,1,fresh_cid=bafy3cda089b9ec72772636736da129f4c14c50efcae5a96dcf3;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_4_004,LAN,RPD,100,4,4,ALL,4,0.0,10.462126,,3418.079815,3418.079815,3418.079815,400.000064,0.0,,0,0.0,1,fresh_cid=bafy60bf3bf8fa829b0e0ecc14991c041b6c57c715f4c2f2c230;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_4_005,LAN,RPD,100,4,4,ALL,5,0.0,10.37303,,3417.52253,3417.52253,3417.52253,400.000064,0.0,,0,0.0,1,fresh_cid=bafy5c8f983eea7f8405d7915708c2455892177bb92a6c89eb8e;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_4_006,LAN,RPD,100,4,4,ALL,6,0.0,10.452356,,3416.493149,3416.493149,3416.493149,400.000064,0.0,,0,0.0,1,fresh_cid=bafybb134c60ef86dc26acd789dd4e4e7d365ddf4427569bc1af;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_4_007,LAN,RPD,100,4,4,ALL,7,0.0,10.470167,,3418.128201,3418.128201,3418.128201,400.000064,0.0,,0,0.0,1,fresh_cid=bafyeb241c41e9eb222dc836baf03acd75b66648b7cbc82ab620;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_4_008,LAN,RPD,100,4,4,ALL,8,0.0,10.424879,,3417.881843,3417.881843,3417.881843,400.000064,0.0,,0,0.0,1,fresh_cid=bafy14401a0f6a05b58aa7eb03390be819febe17f87cf518db47;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_4_009,LAN,RPD,100,4,4,ALL,9,0.0,10.534981,,3416.040845,3416.040845,3416.040845,400.000064,0.0,,0,0.0,1,fresh_cid=bafyfc77ff3b46a810f35e8cf66537730d75b1974cde82c8ada4;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_4_010,LAN,RPD,100,4,4,ALL,10,0.0,10.465338,,3415.971202,3415.971202,3415.971202,400.000064,0.0,,0,0.0,1,fresh_cid=bafyf69ea2cd0085f9dbb1bf454b552fe4ff1aa1e422d0317853;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_4_011,LAN,RPD,100,4,4,ALL,11,0.0,10.553082,,3419.549107,3419.549107,3419.549107,400.000064,0.0,,0,0.0,1,fresh_cid=bafy7492262e23a3c0ab7f22dffc2a36ed9e211cbf426157ac5e;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
lan_rpd_100_4_012,LAN,RPD,100,4,4,ALL,12,0.0,10.574115,,3416.079979,3416.079979,3416.079979,400.000064,0.0,,0,0.0,1,fresh_cid=bafyad4a652e904c97580d252b830f3806b6e4d6e7e0147112d2;encrypted_payload_modeled_from_calibrated_aes_gcm;parallel_send_shared_requester_uplink
