prompt_id,checkpoint,rho,K,conditional_fpr,exact_detection_power
eval_005,prefill__C1,0.02,64,0.01,1.0
eval_005,prefill__C1,0.02,128,0.01,1.0
eval_005,prefill__C1,0.02,256,0.01,1.0
eval_005,prefill__C1,0.02,512,0.01,1.0
eval_005,prefill__C1,0.02,1024,0.01,1.0
eval_005,prefill__C1,0.05,8,0.01,0.9999995988430929
eval_005,prefill__C1,0.05,16,0.01,0.9999999999999037
eval_005,prefill__C1,0.05,32,0.01,1.0
eval_005,prefill__C1,0.05,64,0.01,1.0
eval_005,prefill__C1,0.05,128,0.01,1.0
eval_005,prefill__C1,0.05,256,0.01,1.0
eval_005,prefill__C1,0.05,512,0.01,1.0
eval_005,prefill__C1,0.05,1024,0.01,1.0
eval_005,prefill__C2,0.01,8,0.01,0.9590185672438477
eval_005,prefill__C2,0.01,16,0.01,0.9987722420503186
eval_005,prefill__C2,0.01,32,0.01,0.999999357182496
eval_005,prefill__C2,0.01,64,0.01,0.999999999999932
eval_005,prefill__C2,0.01,128,0.01,1.0
eval_005,prefill__C2,0.01,256,0.01,1.0
eval_005,prefill__C2,0.01,512,0.01,1.0
eval_005,prefill__C2,0.01,1024,0.01,1.0
eval_005,prefill__C2,0.02,8,0.01,0.9995095176360033
eval_005,prefill__C2,0.02,16,0.01,0.9999998483139177
eval_005,prefill__C2,0.02,32,0.01,0.9999999999999926
eval_005,prefill__C2,0.02,64,0.01,1.0
eval_005,prefill__C2,0.02,128,0.01,1.0
eval_005,prefill__C2,0.02,256,0.01,1.0
eval_005,prefill__C2,0.02,512,0.01,1.0
eval_005,prefill__C2,0.02,1024,0.01,1.0
eval_005,prefill__C2,0.05,8,0.01,0.9999995418380908
eval_005,prefill__C2,0.05,16,0.01,0.9999999999998744
eval_005,prefill__C2,0.05,32,0.01,1.0
eval_005,prefill__C2,0.05,64,0.01,1.0
eval_005,prefill__C2,0.05,128,0.01,1.0
eval_005,prefill__C2,0.05,256,0.01,1.0
eval_005,prefill__C2,0.05,512,0.01,1.0
eval_005,prefill__C2,0.05,1024,0.01,1.0
eval_005,prefill__C3,0.01,8,0.01,0.033147410436841954
eval_005,prefill__C3,0.01,16,0.01,0.04573966924005804
eval_005,prefill__C3,0.01,32,0.01,0.06965753366119583
eval_005,prefill__C3,0.01,64,0.01,0.11841706615566819
eval_005,prefill__C3,0.01,128,0.01,0.22199939364479734
eval_005,prefill__C3,0.01,256,0.01,0.4304639787224767
eval_005,prefill__C3,0.01,512,0.01,0.745214920574605
eval_005,prefill__C3,0.01,1024,0.01,0.9671106484505316
eval_005,prefill__C3,0.02,8,0.01,0.19474531236744486
eval_005,prefill__C3,0.02,16,0.01,0.34059557320177025
eval_005,prefill__C3,0.02,32,0.01,0.5877263597663948
eval_005,prefill__C3,0.02,64,0.01,0.8674450529676185
eval_005,prefill__C3,0.02,128,0.01,0.9912468177709699
eval_005,prefill__C3,0.02,256,0.01,0.9999840493838615
eval_005,prefill__C3,0.02,512,0.01,0.9999999999881788
eval_005,prefill__C3,0.02,1024,0.01,1.0
eval_005,prefill__C3,0.05,8,0.01,0.9121390249363185
eval_005,prefill__C3,0.05,16,0.01,0.9940458547164815
eval_005,prefill__C3,0.05,32,0.01,0.9999831763752008
eval_005,prefill__C3,0.05,64,0.01,0.999999999944314
eval_005,prefill__C3,0.05,128,0.01,1.0
eval_005,prefill__C3,0.05,256,0.01,1.0
eval_005,prefill__C3,0.05,512,0.01,1.0
eval_005,prefill__C3,0.05,1024,0.01,1.0
eval_006,prefill__C1,0.01,8,0.01,0.9582691437156453
eval_006,prefill__C1,0.01,16,0.01,0.9987255051990508
eval_006,prefill__C1,0.01,32,0.01,0.9999993057945713
eval_006,prefill__C1,0.01,64,0.01,0.9999999999999205
eval_006,prefill__C1,0.01,128,0.01,1.0
eval_006,prefill__C1,0.01,256,0.01,1.0
eval_006,prefill__C1,0.01,512,0.01,1.0
eval_006,prefill__C1,0.01,1024,0.01,1.0
eval_006,prefill__C1,0.02,8,0.01,0.9994972718871438
