run_id,scheme,network,k,payload_mb,requester_egress_mb,publication_ms,access_package_ms,provider_fetch_ms,all_ready_ms,notes
lan_ppd_100_2_002,PPD,LAN,2,100,100.001172,863.265503,865.275341,853.063966,1718.339307,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_2_003,PPD,LAN,2,100,100.001172,864.409432,866.41927,853.063966,1719.483236,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_2_004,PPD,LAN,2,100,100.001172,862.680069,865.080268,853.582121,1718.662389,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_2_005,PPD,LAN,2,100,100.001172,862.867331,864.877169,855.638478,1720.515648,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_2_006,PPD,LAN,2,100,100.001172,862.958065,865.429393,853.643321,1719.072714,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_2_007,PPD,LAN,2,100,100.001172,864.834773,866.844611,853.063966,1719.908577,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_2_008,PPD,LAN,2,100,100.001172,862.854438,864.962325,853.063966,1718.026291,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_2_009,PPD,LAN,2,100,100.001172,863.543637,865.818975,853.584192,1719.403167,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_2_010,PPD,LAN,2,100,100.001172,865.413445,867.496227,854.14351,1721.639737,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_2_011,PPD,LAN,2,100,100.001172,863.277867,865.287706,853.994705,1719.28241,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_2_012,PPD,LAN,2,100,100.001172,863.164542,865.17438,853.063966,1718.238346,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_2_013,PPD,LAN,2,100,100.001172,865.205235,867.229364,853.763303,1720.992666,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_2_014,PPD,LAN,2,100,100.001172,864.85414,867.108568,854.598814,1721.707382,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_2_015,PPD,LAN,2,100,100.001172,862.891201,865.129031,853.063966,1718.192997,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_2_016,PPD,LAN,2,100,100.001172,863.00067,865.214834,854.581618,1719.796452,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_2_017,PPD,LAN,2,100,100.001172,862.755737,864.765576,853.063966,1717.829542,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_2_018,PPD,LAN,2,100,100.001172,863.88169,865.891528,854.267891,1720.15942,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_2_019,PPD,LAN,2,100,100.001172,862.730025,864.739863,853.063966,1717.803829,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_2_020,PPD,LAN,2,100,100.001172,863.26426,865.274098,855.482152,1720.75625,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_2_021,PPD,LAN,2,100,100.001172,865.67831,867.866977,853.063966,1720.930943,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_2_022,PPD,LAN,2,100,100.001172,863.588077,865.68352,853.137424,1718.820944,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_2_023,PPD,LAN,2,100,100.001172,864.690501,866.700339,853.063966,1719.764305,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_2_024,PPD,LAN,2,100,100.001172,863.103113,865.112951,854.150971,1719.263922,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_2_025,PPD,LAN,2,100,100.001172,863.215186,865.225024,855.598957,1720.823982,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_2_026,PPD,LAN,2,100,100.001172,864.186801,866.196639,853.849173,1720.045812,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_2_027,PPD,LAN,2,100,100.001172,864.778142,866.795268,854.358546,1721.153815,fresh_unique_id;calibrated_delivery_path
lan_ppd_100_2_028,PPD,LAN,2,100,100.001172,864.952055,866.961893,853.063966,1720.025859,fresh_unique_id;calibrated_delivery_path
