prompt_id,checkpoint,n,q,rho,attack,support_size,selection_combined,statistic,test_rate,relative_l2,final_relative_residual,delta_residual_cosine,cosine_after_attack
eval_001,prefill__C1,16384,128,0.01,adaptive_joint,16384,0.0,energy,0.0,0.00999999710444207,0.011742437206479371,4.1002388237267266e-08,0.9999368807602934
eval_001,prefill__C1,16384,128,0.01,adaptive_joint,16384,0.0,directional,0.00390625,0.00999999710444207,0.011742437206479371,4.1002388237267266e-08,0.9999368807602934
eval_001,prefill__C1,16384,128,0.01,adaptive_joint,16384,0.0,combined,0.00390625,0.00999999710444207,0.011742437206479371,4.1002388237267266e-08,0.9999368807602934
eval_001,prefill__C1,16384,128,0.02,fixed_diffuse,16384,0.03515625,spike,0.01171875,0.020000000000000004,0.020925699137945463,2.9565827889704264e-18,0.9997912168938429
eval_001,prefill__C1,16384,128,0.02,fixed_diffuse,16384,0.03515625,energy,0.01171875,0.020000000000000004,0.020925699137945463,2.9565827889704264e-18,0.9997912168938429
eval_001,prefill__C1,16384,128,0.02,fixed_diffuse,16384,0.03515625,directional,0.0390625,0.020000000000000004,0.020925699137945463,2.9565827889704264e-18,0.9997912168938429
eval_001,prefill__C1,16384,128,0.02,fixed_diffuse,16384,0.03515625,combined,0.04052734375,0.020000000000000004,0.020925699137945463,2.9565827889704264e-18,0.9997912168938429
eval_001,prefill__C1,16384,128,0.02,fixed_directional,16371,1.0,spike,0.01171875,0.019999999999999997,0.020925699137945463,-2.1233640029878523e-18,0.999791234810511
eval_001,prefill__C1,16384,128,0.02,fixed_directional,16371,1.0,energy,0.01171875,0.019999999999999997,0.020925699137945463,-2.1233640029878523e-18,0.999791234810511
eval_001,prefill__C1,16384,128,0.02,fixed_directional,16371,1.0,directional,1.0,0.019999999999999997,0.020925699137945463,-2.1233640029878523e-18,0.999791234810511
eval_001,prefill__C1,16384,128,0.02,fixed_directional,16371,1.0,combined,1.0,0.019999999999999997,0.020925699137945463,-2.1233640029878523e-18,0.999791234810511
eval_001,prefill__C1,16384,128,0.02,fixed_sparse16,16,0.1015625,spike,0.12158203125,0.02,0.02092569913794546,-2.4862173452705863e-18,0.999790855590982
eval_001,prefill__C1,16384,128,0.02,fixed_sparse16,16,0.1015625,energy,0.12158203125,0.02,0.02092569913794546,-2.4862173452705863e-18,0.999790855590982
eval_001,prefill__C1,16384,128,0.02,fixed_sparse16,16,0.1015625,directional,0.1162109375,0.02,0.02092569913794546,-2.4862173452705863e-18,0.999790855590982
eval_001,prefill__C1,16384,128,0.02,fixed_sparse16,16,0.1015625,combined,0.12158203125,0.02,0.02092569913794546,-2.4862173452705863e-18,0.999790855590982
eval_001,prefill__C1,16384,128,0.02,adaptive_joint,16384,0.017578125,spike,0.01171875,0.02000000078666888,0.020925699908790302,3.2257099127094667e-09,0.9997900773506458
eval_001,prefill__C1,16384,128,0.02,adaptive_joint,16384,0.017578125,energy,0.01171875,0.02000000078666888,0.020925699908790302,3.2257099127094667e-09,0.9997900773506458
eval_001,prefill__C1,16384,128,0.02,adaptive_joint,16384,0.017578125,directional,0.02490234375,0.02000000078666888,0.020925699908790302,3.2257099127094667e-09,0.9997900773506458
eval_001,prefill__C1,16384,128,0.02,adaptive_joint,16384,0.017578125,combined,0.03125,0.02000000078666888,0.020925699908790302,3.2257099127094667e-09,0.9997900773506458
eval_001,prefill__C1,16384,128,0.05,fixed_diffuse,16384,1.0,spike,0.01171875,0.05,0.05037742435269802,-5.655136534539798e-18,0.9987334184406421
eval_001,prefill__C1,16384,128,0.05,fixed_diffuse,16384,1.0,energy,1.0,0.05,0.05037742435269802,-5.655136534539798e-18,0.9987334184406421
eval_001,prefill__C1,16384,128,0.05,fixed_diffuse,16384,1.0,directional,0.34765625,0.05,0.05037742435269802,-5.655136534539798e-18,0.9987334184406421
eval_001,prefill__C1,16384,128,0.05,fixed_diffuse,16384,1.0,combined,1.0,0.05,0.05037742435269802,-5.655136534539798e-18,0.9987334184406421
eval_001,prefill__C1,16384,128,0.05,fixed_directional,16371,1.0,spike,0.01171875,0.05,0.05037742435269802,-7.117301113812444e-18,0.9987334702743951
eval_001,prefill__C1,16384,128,0.05,fixed_directional,16371,1.0,energy,1.0,0.05,0.05037742435269802,-7.117301113812444e-18,0.9987334702743951
eval_001,prefill__C1,16384,128,0.05,fixed_directional,16371,1.0,directional,1.0,0.05,0.05037742435269802,-7.117301113812444e-18,0.9987334702743951
eval_001,prefill__C1,16384,128,0.05,fixed_directional,16371,1.0,combined,1.0,0.05,0.05037742435269802,-7.117301113812444e-18,0.9987334702743951
eval_001,prefill__C1,16384,128,0.05,fixed_sparse16,16,0.10546875,spike,0.1201171875,0.05000000000000001,0.050377424352698034,-1.1181258547379067e-18,0.9987329439257328
eval_001,prefill__C1,16384,128,0.05,fixed_sparse16,16,0.10546875,energy,0.1201171875,0.05000000000000001,0.050377424352698034,-1.1181258547379067e-18,0.9987329439257328
eval_001,prefill__C1,16384,128,0.05,fixed_sparse16,16,0.10546875,directional,0.11865234375,0.05000000000000001,0.050377424352698034,-1.1181258547379067e-18,0.9987329439257328
