prompt_id,checkpoint,n,q,rho,attack,support_size,selection_combined,statistic,test_rate,relative_l2,cosine_after_attack
eval_001,prefill__C1,16384,128,0.05,fixed_sparse16,16,0.119140625,combined,0.130859375,0.05000000000000001,0.9987314636298289
eval_001,prefill__C1,16384,128,0.05,adaptive_joint,16,0.099609375,spike,0.09765625,0.04999999918559603,0.998738125318863
eval_001,prefill__C1,16384,128,0.05,adaptive_joint,16,0.099609375,energy,0.09814453125,0.04999999918559603,0.998738125318863
eval_001,prefill__C1,16384,128,0.05,adaptive_joint,16,0.099609375,directional,0.09814453125,0.04999999918559603,0.998738125318863
eval_001,prefill__C1,16384,128,0.05,adaptive_joint,16,0.099609375,combined,0.10009765625,0.04999999918559603,0.998738125318863
eval_001,prefill__C1,16384,256,0.0,honest,0,,spike,0.01220703125,0.0,0.9999927276506787
eval_001,prefill__C1,16384,256,0.0,honest,0,,energy,0.01220703125,0.0,0.9999927276506787
eval_001,prefill__C1,16384,256,0.0,honest,0,,directional,0.01220703125,0.0,0.9999927276506787
eval_001,prefill__C1,16384,256,0.0,honest,0,,combined,0.01220703125,0.0,0.9999927276506787
eval_001,prefill__C1,16384,256,0.01,fixed_diffuse,16384,0.013671875,spike,0.01220703125,0.010000000000000004,0.999942116830646
eval_001,prefill__C1,16384,256,0.01,fixed_diffuse,16384,0.013671875,energy,0.01220703125,0.010000000000000004,0.999942116830646
eval_001,prefill__C1,16384,256,0.01,fixed_diffuse,16384,0.013671875,directional,0.01171875,0.010000000000000004,0.999942116830646
eval_001,prefill__C1,16384,256,0.01,fixed_diffuse,16384,0.013671875,combined,0.0146484375,0.010000000000000004,0.999942116830646
eval_001,prefill__C1,16384,256,0.01,fixed_directional,16371,1.0,spike,0.01220703125,0.010000000000000009,0.9999432916304644
eval_001,prefill__C1,16384,256,0.01,fixed_directional,16371,1.0,energy,0.01220703125,0.010000000000000009,0.9999432916304644
