threat_model,attack_family,rho,boundary,detector,n_eval,threshold_gamma,tpr_at_1fpr,eval_fpr,evaded_rate,harmful_evasion_rate,harm_proxy_mean,localization_acc,tpr_ci_lo,tpr_ci_hi,rho_eff
TM1b_knownP,tol_hug_projcos,0.05,C3,SignRadial,520,0.008965,0.155769,0.009615,0.844231,0.826923,0.455708,0.938272,0.127137,0.18945,0.018772
TM1b_knownP,tol_hug_projcos,0.1,C3,Combined,520,0.9900995,0.132692,0.009615,0.867308,0.853846,0.457636,0.971014,0.10621,0.164561,0.018868
TM1b_knownP,tol_hug_projcos,0.1,C3,ProjCos4,520,0.00061048,0.015385,0.015385,0.984615,0.978846,0.457636,0.75,0.007816,0.030061,0.018868
TM1b_knownP,tol_hug_projcos,0.1,C3,SignRadial,520,0.008965,0.157692,0.009615,0.842308,0.825,0.457636,0.939024,0.128892,0.191513,0.018868
TM1b_knownP,tol_hug_sr,0.002,C3,Combined,520,0.9900995,0.009615,0.009615,0.990385,0.778846,0.047383,0.6,0.004114,0.022309,0.001981
TM1b_knownP,tol_hug_sr,0.002,C3,ProjCos4,520,0.00061048,0.015385,0.015385,0.984615,0.775,0.047383,0.75,0.007816,0.030061,0.001981
TM1b_knownP,tol_hug_sr,0.002,C3,SignRadial,520,0.008965,0.013462,0.009615,0.986538,0.773077,0.047383,0.571429,0.006536,0.027523,0.001981
TM1b_knownP,tol_hug_sr,0.005,C3,Combined,520,0.9900995,0.019231,0.009615,0.980769,0.969231,0.118067,0.8,0.010479,0.035034,0.004935
TM1b_knownP,tol_hug_sr,0.005,C3,ProjCos4,520,0.00061048,0.019231,0.015385,0.980769,0.969231,0.118067,0.8,0.010479,0.035034,0.004935
TM1b_knownP,tol_hug_sr,0.005,C3,SignRadial,520,0.008965,0.019231,0.009615,0.980769,0.969231,0.118067,0.7,0.010479,0.035034,0.004935
TM1b_knownP,tol_hug_sr,0.01,C3,Combined,520,0.9900995,0.057692,0.009615,0.942308,0.930769,0.233499,0.933333,0.040708,0.081164,0.009769
TM1b_knownP,tol_hug_sr,0.01,C3,ProjCos4,520,0.00061048,0.046154,0.015385,0.953846,0.942308,0.233499,0.916667,0.031209,0.067755,0.009769
TM1b_knownP,tol_hug_sr,0.01,C3,SignRadial,520,0.008965,0.032692,0.009615,0.967308,0.955769,0.233499,0.823529,0.02051,0.051728,0.009769
TM1b_knownP,tol_hug_sr,0.02,C3,Combined,520,0.9900995,0.498077,0.009615,0.501923,0.492308,0.453498,0.976834,0.455274,0.540908,0.018981
TM1b_knownP,tol_hug_sr,0.02,C3,ProjCos4,520,0.00061048,0.542308,0.015385,0.457692,0.448077,0.453498,0.968085,0.499333,0.584662,0.018981
TM1b_knownP,tol_hug_sr,0.02,C3,SignRadial,520,0.008965,0.153846,0.009615,0.846154,0.836538,0.453498,0.9375,0.125383,0.187386,0.018981
TM1b_knownP,tol_hug_sr,0.05,C3,Combined,520,0.9900995,0.871154,0.009615,0.128846,0.119231,0.977128,0.980132,0.839613,0.897251,0.041162
TM1b_knownP,tol_hug_sr,0.05,C3,ProjCos4,520,0.00061048,0.882692,0.015385,0.117308,0.107692,0.977128,0.971678,0.852187,0.907584,0.041162
TM1b_knownP,tol_hug_sr,0.05,C3,SignRadial,520,0.008965,0.375,0.009615,0.625,0.615385,0.977128,0.958974,0.334449,0.417384,0.041162
TM1b_knownP,tol_hug_sr,0.1,C3,Combined,520,0.9900995,0.875,0.009615,0.125,0.115385,1.480072,0.98022,0.843796,0.900704,0.064627
TM1b_knownP,tol_hug_sr,0.1,C3,ProjCos4,520,0.00061048,0.884615,0.015385,0.115385,0.105769,1.480072,0.971739,0.854291,0.909299,0.064627
TM1b_knownP,tol_hug_sr,0.1,C3,SignRadial,520,0.008965,0.513462,0.009615,0.486538,0.476923,1.480072,0.958801,0.470561,0.556165,0.064627
